event_date,actor1,assoc_actor_1,actor2,assoc_actor_2,fatalities,interaction,admin1,admin2,latitude,longitude,notes
2017-02-28,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.2211,35.2544,"A number of Israeli settlers Tuesday morning blocked off main roads north from Nablus city in the northernWest Bank, said locals. Settlers from the illegal Shavei Shomron settlement closed the main roads north of Nablus city. They hurled stones at Palestinians in their vehicles, obstructing traffic in both directions and forcing passengers to take alternative routes."
2017-03-06,Settlers (Israel),,Civilians (Palestine),Farmers (Palestine); Women (Palestine),0.0,Political militia-Civilians,West Bank,Qalqilya,32.1907,35.1661,Israeli settlers assaulted and injured a Palestinian woman who was working on her agricultural lands in the northern occupied West Bank on Monday. More than 20 Israeli settlers from the settlement outpost of Havat Gilad attacked Palestinian farmers working in their lands in the nearby village of Faraata in the Qalqiliya district.
2017-03-16,Settlers (Israel),,Civilians (Palestine),Students (Palestine),0.0,Political militia-Civilians,West Bank,Nablus,32.1845,35.2502,"On 16 March 2017, about 12 Israeli settlers attacked Palestinian schoolchildren at Burin village high school with live fire following reports that a group of Arab youth threw rocks at Israeli drivers."
2017-03-20,Settlers (Israel),,Civilians (Palestine),Women (Palestine),0.0,Political militia-Civilians,West Bank,Nablus,32.0854,35.2578,An Israeli settler hit and injured an elderly Palestinian woman on Monday evening near the northern West Bank village of al-Sawiya. The woman was evacuated to Al Najah hospital where doctors said she sustained moderate to serious wounds.
2017-03-21,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Nablus,32.3018,35.1926,"Israeli settlers Tuesday blocked a main road between Nablus and Jenin in the north of the West Bank and forced herders to leave fields north of Nablus. They also chased herders out of fields in the village of Burqa, north of Nablus, after opening fire in the air to scare the herders away. There were no reports of injuries."
2017-03-22,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Nablus,32.1845,35.2502,"A group of Israeli settlers assaulted on Wednesday several Palestinian farmers working in their land in the village of Burin, south of Nablus. At least one farmer was injured in the leg when a stone hit him in the foot."
2017-03-29,Settlers (Israel),,Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Qalqilya,32.1897,34.9706,Israeli settlers from Havat Gilad settlement Wednesday assaulted Palestinian farmers from several Qalqilya area villages who were working on their land.
2017-04-07,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.6233,35.1045,Two Palestinians from the Hebron-area village of Beit Ummar were lightly injured Friday after an Israeli settler attempted to run them over on a main road connecting the southern occupied West Bank city of Hebron to Jerusalem.
2017-04-17,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.3682,34.9668,"Land seizure: On 17 April 2017, Israeli settlers established the Shabtai Farm outpost on Palestinian-owned land near Tene settlement (Hebron, West Bank)."
2017-04-20,Settlers (Israel),,Civilians (Palestine),Women (Palestine),0.0,Political militia-Civilians,West Bank,Bethlehem,31.6365,35.2145,"A 17 year-old Palestinian girl was injured Thursday after being deliberately hit by an Israeli settler car in the town of Tuqu, southeast of Bethlehem city in the southern occupied West Bank."
2017-04-21,Settlers (Israel),,Civilians (Palestine),HaqAl United in the Defense of Human Rights; Taayush,0.0,Political militia-Civilians,West Bank,Ramallah and Al Bireh,31.9667,35.35,"Footage filmed by an Israeli human rights group shows what it says is a group of masked settlers attacking activists assisting Palestinians in the occupied West Bank. The clip shows a group of masked men charging at the activists, throwing stones and hitting them with sticks."
2017-04-22,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.1522,35.2567,The settlers from Yizhar attacked Hawara village wounding one Palestinian.
2017-04-25,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1522,35.2567,"On 25 April 2017, a Palestinian vehicle was set on fire overnight Tuesday in the village of Huwwarah (Nablus, West Bank) in a price tag attack"
2017-04-26,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1522,35.2567,"On 26 April 2017, Israeli settlers burned down a vehicle belonging to a Palestinian civilian in Huwwarah village."
2017-04-27,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Jenin,32.4594,35.3009,"In the district of Jenin, Israeli settlers reportedly threw rocks and bottles at Palestinian homes."
2017-04-27,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.2675,35.1881,"Near the settlement of Shave Shomron, a man was hosplitalized after settlers stopped his car, beat him and damaged his vehicle."
2017-04-30,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5294,35.0938,An Israeli settler ran over a four-year-old Palestinian boy in the center of Hebron city and fled the scene.
2017-05-03,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.4459,35.0944,A Palestinian child was hospitalized after being hit by an Israeli settler driving in the town of Yatta in the southern occupied West Bank on Wednesday.
